candidate_id,iso,stratum,lat,lng,pred,p_farm,p_poultry,p_pigs,true,split
IDN_cluster_3341,IDN,borderline,-6.284814151376219,106.27499931326383,Poultry,0.586,0.488,0.084,,predict
IDN_cluster_494,IDN,borderline,3.27518868138696,98.55175956238234,Poultry,0.572,0.569,0.003,,predict
IDN_cluster_7827,IDN,borderline,-7.849507533551883,112.18747218649966,NotFarm,0.435,0.428,0.006,,predict
IDN_cluster_7732,IDN,borderline,-7.700693074304123,112.14802397077304,Poultry,0.555,0.53,0.024,,predict
IDN_cluster_4106,IDN,notfarm_top,-2.1205754050332977,105.89590967700369,NotFarm,0.0,0.0,0.0,,predict
IDN_cluster_10851,IDN,notfarm_top,-3.145209205198054,116.02230310867144,NotFarm,0.0,0.0,0.0,,predict
IDN_cluster_926,IDN,notfarm_top,3.3202500830521497,99.09110034540838,NotFarm,0.0,0.0,0.0,,predict
IDN_cluster_11226,IDN,notfarm_top,-3.442512417595464,114.69497887877336,NotFarm,0.0,0.0,0.0,,predict
IDN_cluster_2508,IDN,notfarm_top,-6.9348571890401685,107.047516226102,NotFarm,0.0,0.0,0.0,,predict
IDN_cluster_10651,IDN,notfarm_top,-0.9439402999137364,116.99556692259144,NotFarm,0.0,0.0,0.0,,predict
IDN_cluster_1988,IDN,notfarm_top,-0.2564876002517637,100.18504449396356,NotFarm,0.0,0.0,0.0,,predict
IDN_cluster_2586,IDN,notfarm_top,-6.732302999126395,107.32953385169176,NotFarm,0.0,0.0,0.0,,predict
IDN_cluster_7103,IDN,disagreement,-7.618189379888195,111.44937296170744,Poultry,0.569,0.534,0.031,NotFarm,train
IDN_cluster_5125,IDN,disagreement,-4.787698379786027,105.21563884739224,Pigs,0.833,0.304,0.385,Cattle,train
IDN_cluster_7035,IDN,agreement,-7.196460232607555,111.54525247999442,NotFarm,0.236,0.199,0.029,NotFarm,qual_eval
IDN_cluster_11740,IDN,agreement,-4.667133249028015,119.6295261384116,Poultry,0.999,0.99,0.008,Poultry,train
IDN_cluster_2204,IDN,agreement,1.1333626081225705,104.10922015274971,NotFarm,0.001,0.001,0.0,NotFarm,qual_eval
IDN_cluster_7218,IDN,agreement,-7.514089483616186,111.20468521044428,NotFarm,0.076,0.069,0.005,NotFarm,qual_eval
IDN_cluster_3571,IDN,agreement,-7.079159373060784,107.64306347843178,Poultry,0.997,0.996,0.001,Poultry,train
PHL_cluster_4123,PHL,poultry_top,13.712931939169607,123.27692461434056,Poultry,1.0,1.0,0.0,,predict
PHL_cluster_1053,PHL,poultry_top,8.111027058917589,123.50677085907662,Poultry,1.0,1.0,0.0,,predict
PHL_cluster_3383,PHL,poultry_top,15.373788704557134,121.02121805967435,Poultry,1.0,1.0,0.0,,predict
PHL_cluster_2751,PHL,poultry_top,15.56173488096382,120.83982701680516,Poultry,1.0,1.0,0.0,,predict
PHL_cluster_5147,PHL,poultry_top,17.44934485751737,121.68418210657713,Poultry,1.0,1.0,0.0,,predict
PHL_cluster_5210,PHL,poultry_top,16.868820238711024,121.51185073808178,Poultry,1.0,1.0,0.0,,predict
PHL_cluster_2449,PHL,poultry_top,15.757814004923564,121.05503754463622,Poultry,1.0,1.0,0.0,,predict
PHL_cluster_3569,PHL,poultry_top,14.900056692403252,120.97654600997087,Poultry,1.0,1.0,0.0,,predict
PHL_cluster_3414,PHL,poultry_top,15.460990104463953,121.05250729539998,Poultry,1.0,1.0,0.0,,predict
PHL_cluster_4299,PHL,poultry_top,14.421734933747558,121.41194469149242,Poultry,1.0,1.0,0.0,,predict
PHL_cluster_3895,PHL,pigs_top,15.71460814659441,120.3012168088468,Pigs,0.998,0.019,0.979,,predict
PHL_cluster_900,PHL,pigs_top,9.9305574081216,123.60084533663938,Pigs,0.998,0.024,0.974,,predict
PHL_cluster_2789,PHL,pigs_top,15.305333375487132,120.54055347640616,Pigs,0.998,0.024,0.974,,predict
PHL_cluster_5090,PHL,pigs_top,13.987771825059609,120.83207024999118,Pigs,0.989,0.016,0.973,,predict
PHL_cluster_757,PHL,pigs_top,10.23579626636089,123.5831272249952,Pigs,0.989,0.016,0.973,,predict
PHL_cluster_2904,PHL,pigs_top,15.399843489432138,120.61975042587764,Pigs,0.994,0.067,0.926,,predict
PHL_cluster_4401,PHL,pigs_top,14.10369933071864,121.58170083688938,Pigs,0.982,0.078,0.904,,predict
PHL_cluster_3050,PHL,pigs_top,15.506154915426254,120.61833818849108,Pigs,0.982,0.078,0.904,,predict
PHL_cluster_285,PHL,pigs_top,8.356298914287484,124.66434486450544,Pigs,0.99,0.114,0.874,,predict
PHL_cluster_5415,PHL,pigs_top,16.999535285194455,121.76930234219591,Pigs,0.99,0.114,0.874,,predict
PHL_cluster_4634,PHL,borderline,13.365688902196808,121.18574517312584,NotFarm,0.42,0.37,0.046,,predict
